fast_period,slow_period,total_return,sharpe_ratio,max_drawdown,total_trades,win_rate,final_value
18,55,0.11176306909126288,-15.463805995798666,0.11118235120350602,13,46.15384615384615,100111.76306909126
18,60,0.11526572659383237,-14.567319005989335,0.12148989679936363,13,38.46153846153847,100115.26572659383
19,25,0.1531698594559857,-18.64667246402853,0.1110450908873993,26,57.692307692307686,100153.16985945599
19,30,0.15569881483921197,-16.228112960263907,0.08808019610722673,20,55.00000000000001,100155.69881483921
19,35,0.11025312173500423,-15.971340765602042,0.12362828288112235,16,43.75,100110.253121735
19,40,0.11395635153398326,-14.817318827303126,0.12498026223345308,15,40.0,100113.95635153398
19,45,0.15834730490819493,-14.565723342352184,0.10351917187090345,14,42.857142857142854,100158.3473049082
19,50,0.12966551028893444,-13.474465893934823,0.12847371875608346,12,41.66666666666667,100129.66551028893
19,55,0.12907365376403324,-15.931447841332039,0.10349564171638309,12,50.0,100129.07365376403
19,60,0.1308783849516767,-13.175666517442657,0.1258964786448514,13,38.46153846153847,100130.87838495168
20,25,0.11764227182179457,-16.633773393451015,0.10217656556030598,27,48.148148148148145,100117.6422718218
20,30,0.11077015400936943,-14.03866295475017,0.11819363976456274,20,45.0,100110.77015400937
20,35,0.11686527935722553,-16.12322409596294,0.11935911212140066,17,52.94117647058824,100116.86527935723
20,40,0.11838806497369661,-15.299573183429729,0.11717397679261854,15,46.666666666666664,100118.3880649737
20,45,0.1713095567101409,-15.141044065536123,0.1020633560761114,14,42.857142857142854,100171.30955671014
20,50,0.13920680816053937,-14.532318712492803,0.11586407513551429,12,41.66666666666667,100139.20680816054
20,55,0.11211618610855657,-16.226516516855817,0.11996820400098347,12,41.66666666666667,100112.11618610856
20,60,0.12532119249038806,-13.690651483951347,0.12047127797524759,13,38.46153846153847,100125.32119249039
