fast_period,slow_period,total_return,sharpe_ratio,max_drawdown,total_trades,win_rate,final_value
18,35,0.11684113298033481,-12.594176065031466,0.21801982534353778,18,44.44444444444444,100116.84113298033
18,40,0.27656584341431156,-14.600744410592709,0.2073453584321779,15,53.333333333333336,100276.56584341431
18,45,0.12815403182603768,-11.457469404674152,0.26195795010210754,14,57.14285714285714,100128.15403182604
18,50,0.15251973749925674,-10.210163365558508,0.2720927012049934,13,46.15384615384615,100152.51973749926
18,55,0.13201720085907437,-8.385292469938527,0.29311236343349556,13,38.46153846153847,100132.01720085907
18,60,0.0762980403098918,-7.889936355470715,0.34613201943971306,13,38.46153846153847,100076.29804030989
19,25,0.18533971509931144,-10.679680771509519,0.19040287255838023,32,53.125,100185.33971509931
19,30,0.16087981861495065,-10.026611979636739,0.20976215106146054,21,47.61904761904761,100160.87981861495
19,35,0.18584952539061486,-14.72561993592536,0.1675694641035908,18,44.44444444444444,100185.84952539061
19,40,0.2662504412689596,-14.656778435548999,0.20959808986494843,14,57.14285714285714,100266.25044126896
19,45,0.1331711410942371,-12.019246380454339,0.2552805917676063,14,50.0,100133.17114109424
19,50,0.14395144850922226,-10.032902971999382,0.264446983656613,13,46.15384615384615,100143.95144850922
19,55,0.13127376800155616,-8.778197818863317,0.28313622894002055,13,38.46153846153847,100131.27376800156
19,60,0.02147013622664963,-7.411300882036442,0.3943500938880775,13,38.46153846153847,100021.47013622665
20,25,0.10578309960557089,-8.87274443107802,0.24372077900091135,32,43.75,100105.78309960557
20,30,0.1531322769584949,-10.182742491169272,0.22731233613937002,21,42.857142857142854,100153.1322769585
20,35,0.16729341495514383,-15.254987815970559,0.17889453766712565,18,44.44444444444444,100167.29341495514
20,40,0.19235631513981208,-14.79469629768801,0.19386765710166853,15,53.333333333333336,100192.35631513981
20,45,0.08948873585130786,-10.181315716224583,0.30829279337103127,14,50.0,100089.48873585131
20,50,0.14205710242461644,-11.071250257953617,0.25571715546996243,13,53.84615384615385,100142.05710242462
20,55,0.12098088253404422,-8.240772272049048,0.30599324715444903,13,38.46153846153847,100120.98088253404
20,60,0.032901987377146724,-8.638637853694648,0.36190254330345306,12,41.66666666666667,100032.90198737715
